Point_ID,Statistic_ID,Name,Duration,Month,Value,Weight,Gs,Phi,Point_ID2,Distance,Phi2
1,9,cross-correlation_lag0,24H,4,0.672590261,2,1,0.387124181,8,33.16082709,0.518562078
1,9,cross-correlation_lag0,24H,4,0.796376704,2,1,0.387124181,9,23.51627224,0.418300668
1,9,cross-correlation_lag0,24H,4,0.704019932,2,1,0.387124181,10,40.35819741,0.589570959
1,9,cross-correlation_lag0,24H,4,0.78617516,2,1,0.387124181,11,36.3266383,0.444990158
1,9,cross-correlation_lag0,24H,4,0.771026935,2,1,0.387124181,12,30.71894923,0.478194435
1,9,cross-correlation_lag0,24H,4,0.855901304,2,1,0.387124181,13,21.38471721,0.41069444
1,9,cross-correlation_lag0,24H,4,0.84369767,2,1,0.387124181,14,25.79545886,0.40092961
1,9,cross-correlation_lag0,24H,4,0.809902797,2,1,0.387124181,15,36.97039694,0.507560809
1,9,cross-correlation_lag0,24H,5,0.769104611,2,1,0.71564889,2,26.21228706,0.77459391
1,9,cross-correlation_lag0,24H,5,0.701010258,2,1,0.71564889,3,43.08104103,0.788172086
1,9,cross-correlation_lag0,24H,5,0.721949172,2,1,0.71564889,4,46.95451725,1.0373257
1,9,cross-correlation_lag0,24H,5,0.782487929,2,1,0.71564889,5,21.50425849,0.703696648
1,9,cross-correlation_lag0,24H,5,0.804488312,2,1,0.71564889,6,13.72646058,0.812929312
1,9,cross-correlation_lag0,24H,5,0.749577514,2,1,0.71564889,7,42.27067713,0.826944987
1,9,cross-correlation_lag0,24H,5,0.703681454,2,1,0.71564889,8,33.16082709,0.859845559
1,9,cross-correlation_lag0,24H,5,0.810007034,2,1,0.71564889,9,23.51627224,0.812801043
1,9,cross-correlation_lag0,24H,5,0.740618007,2,1,0.71564889,10,40.35819741,1.015538375
1,9,cross-correlation_lag0,24H,5,0.720883787,2,1,0.71564889,11,36.3266383,0.878967524
1,9,cross-correlation_lag0,24H,5,0.730908511,2,1,0.71564889,12,30.71894923,0.916599433
1,9,cross-correlation_lag0,24H,5,0.762976919,2,1,0.71564889,13,21.38471721,0.769153198
1,9,cross-correlation_lag0,24H,5,0.77296302,2,1,0.71564889,14,25.79545886,0.808475653
1,9,cross-correlation_lag0,24H,5,0.701715936,2,1,0.71564889,15,36.97039694,0.815641006
1,9,cross-correlation_lag0,24H,6,0.531235667,2,1,0.748330037,2,26.21228706,0.775189002
