Point_ID,Statistic_ID,Name,Duration,Month,Value,Point_ID2,Distance,Phi2
1,9,cross-correlation_lag0,24H,5,0.876807095,6,13.72646058,0.812929312
1,9,cross-correlation_lag0,24H,5,0.7090717,7,42.27067713,0.826944987
1,9,cross-correlation_lag0,24H,5,0.750267804,8,33.16082709,0.859845559
1,9,cross-correlation_lag0,24H,5,0.805876771,9,23.51627224,0.812801043
1,9,cross-correlation_lag0,24H,5,0.716902625,10,40.35819741,1.015538375
1,9,cross-correlation_lag0,24H,5,0.734802029,11,36.3266383,0.878967524
1,9,cross-correlation_lag0,24H,5,0.763099396,12,30.71894923,0.916599433
1,9,cross-correlation_lag0,24H,5,0.820030049,13,21.38471721,0.769153198
1,9,cross-correlation_lag0,24H,5,0.79151385,14,25.79545886,0.808475653
1,9,cross-correlation_lag0,24H,5,0.731812367,15,36.97039694,0.815641006
1,9,cross-correlation_lag0,24H,6,0.665449866,2,26.21228706,0.775189002
1,9,cross-correlation_lag0,24H,6,0.554051784,3,43.08104103,0.823781252
1,9,cross-correlation_lag0,24H,6,0.536557016,4,46.95451725,0.947486798
1,9,cross-correlation_lag0,24H,6,0.70950562,5,21.50425849,0.707152208
1,9,cross-correlation_lag0,24H,6,0.797594968,6,13.72646058,0.852440755
1,9,cross-correlation_lag0,24H,6,0.55803312,7,42.27067713,0.800399224
1,9,cross-correlation_lag0,24H,6,0.611643994,8,33.16082709,0.962992668
1,9,cross-correlation_lag0,24H,6,0.689870628,9,23.51627224,0.778599977
1,9,cross-correlation_lag0,24H,6,0.567901934,10,40.35819741,0.965325276
1,9,cross-correlation_lag0,24H,6,0.591040535,11,36.3266383,0.822619041
1,9,cross-correlation_lag0,24H,6,0.629140238,12,30.71894923,0.904166698
1,9,cross-correlation_lag0,24H,6,0.710711373,13,21.38471721,0.761597236
1,9,cross-correlation_lag0,24H,6,0.669088377,14,25.79545886,0.734205246
1,9,cross-correlation_lag0,24H,6,0.587121562,15,36.97039694,0.899933179
1,9,cross-correlation_lag0,24H,7,0.727401014,2,26.21228706,0.923405647
1,9,cross-correlation_lag0,24H,7,0.611382596,3,43.08104103,0.762380044
1,9,cross-correlation_lag0,24H,7,0.590494855,4,46.95451725,1.101265033
1,9,cross-correlation_lag0,24H,7,0.76799436,5,21.50425849,0.820215464
1,9,cross-correlation_lag0,24H,7,0.843551648,6,13.72646058,0.855398099
1,9,cross-correlation_lag0,24H,7,0.616000047,7,42.27067713,0.926666657
1,9,cross-correlation_lag0,24H,7,0.67430543,8,33.16082709,0.965455691
1,9,cross-correlation_lag0,24H,7,0.750176833,9,23.51627224,0.944933097
1,9,cross-correlation_lag0,24H,7,0.627250919,10,40.35819741,1.230961561
1,9,cross-correlation_lag0,24H,7,0.652660559,11,36.3266383,0.941491365
1,9,cross-correlation_lag0,24H,7,0.69206789,12,30.71894923,0.981775045
1,9,cross-correlation_lag0,24H,7,0.769075239,13,21.38471721,0.859393915
1,9,cross-correlation_lag0,24H,7,0.730840954,14,25.79545886,0.916539907
1,9,cross-correlation_lag0,24H,7,0.648444484,15,36.97039694,0.982603153
1,9,cross-correlation_lag0,24H,8,0.782096256,2,26.21228706,0.705774307
1,9,cross-correlation_lag0,24H,8,0.685718987,3,43.08104103,0.821059465
1,9,cross-correlation_lag0,24H,8,0.667988196,4,46.95451725,1.007590135
1,9,cross-correlation_lag0,24H,8,0.815155739,5,21.50425849,0.691730738
1,9,cross-correlation_lag0,24H,8,0.876003248,6,13.72646058,0.852016131
1,9,cross-correlation_lag0,24H,8,0.689620198,7,42.27067713,0.892606735
1,9,cross-correlation_lag0,24H,8,0.738380196,8,33.16082709,0.923592647
1,9,cross-correlation_lag0,24H,8,0.800680317,9,23.51627224,0.890031735
1,9,cross-correlation_lag0,24H,8,0.69909971,10,40.35819741,1.051781178
