Point_ID,Statistic_ID,Name,Duration,Month,Value,Weight,Gs,Phi
1,7,probability_dry_0.2mm,24,7,0.6119281045751634,7,1.0,1.0
1,7,probability_dry_0.2mm,24,8,0.5399673735725938,7,1.0,1.0
1,7,probability_dry_0.2mm,24,9,0.5518394648829431,7,1.0,1.0
1,7,probability_dry_0.2mm,24,10,0.4486442070665571,7,1.0,1.0
1,7,probability_dry_0.2mm,24,11,0.38734177215189874,7,1.0,1.0
1,7,probability_dry_0.2mm,24,12,0.4154987633965375,7,1.0,1.0
1,8,autocorrelation_lag1,24,1,0.20591138719279756,6,1.0,1.0
1,8,autocorrelation_lag1,24,2,0.2225515496732909,6,1.0,1.0
1,8,autocorrelation_lag1,24,3,0.18087545947133987,6,1.0,1.0
1,8,autocorrelation_lag1,24,4,0.19625626092340434,6,1.0,1.0
